workload,board,session_id,latency_ms,energy_mwh_per_1000,meter,latency_source,energy_source
kws,f401re,019f366f-357b-7820-b347-949b9832f1e8,158.923,21.53700311683585,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,f401re,019f3d8a-7a6e-7f92-81de-8e9e49eb795a,158.926,21.381732871954718,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,f401re,019f43e6-85da-76c2-a654-e834f3f159a7,158.9275,21.11807948193534,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,nano33,019e5da7-ef3e-7830-94a8-2ef6f6845b8e,224.226,2.36293475869957,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,nano33,019e674c-cd81-7243-9470-a0d817a5b26d,224.222,2.378978647737421,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,nano33,019e756b-3d0c-7610-be25-85b897d45d51,224.132,2.366554381871464,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,esp32s3,019e5d8a-b23b-7c12-a163-1a0d0496eaa9,106.495,13.221435839505276,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,esp32s3,019e653b-a89f-72b2-a648-adc974d864fc,106.49549999999999,13.176856173188597,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
kws,esp32s3,019e71e7-8c70-7521-907f-5825a87931ad,106.51,13.291713373087067,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,f401re,019e7598-6637-7dd0-974b-881675b0bedc,755.4105,71.36006163083808,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,f401re,019e759a-52b9-71e0-8769-486b450e2244,755.423,71.02978100058853,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,f401re,019e75fe-9c3b-7061-9423-2831fac5798d,755.418,71.57784181541297,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,nano33,019e5daa-6c50-77d2-a24c-6ff624d22cc5,1232.8115,13.698335355020635,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,nano33,019e674a-f6b6-7092-a5d0-b84111bc0858,1232.6125000000002,13.716473907996441,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,nano33,019e7569-6922-7123-be2a-5478fcbd3e5f,1232.6,13.639584532660296,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,esp32s3,019e5d8c-b9d7-76c1-ad1d-320a29516ca4,551.062,67.6314170932811,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,esp32s3,019e653a-5889-71d1-8252-562d3a20e2e2,551.06,67.41579511632577,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ic,esp32s3,019e71e6-290e-70a0-a30c-fc3b5f797aba,551.0745,68.00031943509805,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,f401re,019f3676-d96e-7f10-9907-3586f4f15606,8.136,1.2900795885309488,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,f401re,019f3d8d-b3fd-79b2-885f-007399c54367,8.136,1.3155104310318981,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,f401re,019f43ea-02f5-7ac0-a2c0-e4fd615f9b08,8.136,1.2954467851459166,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,nano33,019e5dac-d497-7a52-b3a9-ba11b3f2185f,12.421,0.1889386125994108,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,nano33,019e6748-d2ff-7271-90c9-fe0415802f39,12.421,0.18891270548166939,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,nano33,019e7567-3aea-7621-9671-32874cf4529e,12.404,0.1882913475978658,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,esp32s3,019e5d8e-c5c3-7fa0-b798-93347e4afa0f,11.723,1.440013187273794,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,esp32s3,019e6538-f7b8-76a2-b79c-8353623df07c,11.723,1.4288021761849499,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
ad,esp32s3,019e71e4-ab8b-70a3-a4f0-b894ceb098bf,11.723,1.4381879466342462,INA219,"device-reported, IQR-retained session median","full measured interval, all post-warmup results"
